n,w,time,res
62,5,55895,18
63,5,51935,19
64,5,46965,19
65,5,48966,19
66,5,48311,19
67,5,58869,20
68,5,63611,20
69,5,64723,20
70,5,62985,20
71,5,65536,20
72,5,65150,20
73,5,74803,20
74,5,83738,20
75,5,86921,20
76,5,87049,20
77,5,110111,20
78,5,115142,20
79,5,131608,20
80,5,135517,20
81,5,149761,20
82,5,152097,20
83,5,172848,21
84,5,174524,21
85,5,178817,21
86,5,207270,22
87,5,226147,22
88,5,274482,22
89,5,279835,22
90,5,341420,22
91,5,325357,22
92,5,289317,22
93,5,297718,22
94,5,290353,22
95,5,320338,22
96,5,303050,22
97,5,308898,22
98,5,309931,22
99,5,457196,22
0,6,64,0
1,6,64,1
2,6,95,4
3,6,107,4
4,6,118,8
5,6,131,11
6,6,261,11
7,6,430,11
8,6,670,14
9,6,800,14
10,6,780,14
11,6,888,15
12,6,663,15
13,6,644,15
14,6,881,18
15,6,1067,18
16,6,1047,18
17,6,1242,18
18,6,1362,18
19,6,1679,18
20,6,1687,18
21,6,2204,20
22,6,2272,20
23,6,2420,20
24,6,3590,20
25,6,3926,20
26,6,3430,20
27,6,3671,20
28,6,3987,20
29,6,4434,20
30,6,4353,20
31,6,4952,20
32,6,4674,20
33,6,4641,20
34,6,5644,20
35,6,5355,20
36,6,5661,20
37,6,6953,21
38,6,7271,21
39,6,6910,21
40,6,7131,21
41,6,7410,21
42,6,10140,24
43,6,9969,24
44,6,10187,24
45,6,10495,24
46,6,11636,24
47,6,12486,24
48,6,143646,24
49,6,13457,24
50,6,15685,24
51,6,15569,24
52,6,17927,24
53,6,25162,24
54,6,162863,24
55,6,33087,24
56,6,27685,24
57,6,29331,24
58,6,31721,24
59,6,171269,24
60,6,30672,24
61,6,36553,24
62,6,181115,25
63,6,60405,27
64,6,203952,27
65,6,66094,27
66,6,191522,27
67,6,89684,28
68,6,222458,28
69,6,310098,28
70,6,95896,28
71,6,300259,28
72,6,106728,28
73,6,259831,28
74,6,264212,28
75,6,256006,28
76,6,296296,28
77,6,425664,28
78,6,323470,28
79,6,529015,28
80,6,324885,28
81,6,639102,28
82,6,1136220,28
83,6,967096,30
84,6,1177056,30
85,6,669284,30
86,6,874274,32
87,6,1616687,32
88,6,1436735,32
89,6,1549799,32
90,6,653744,32
91,6,649422,32
92,6,626581,32
93,6,638460,32
94,6,638646,32
95,6,869704,32
96,6,743724,32
97,6,684542,32
98,6,822353,32
99,6,768200,32
0,7,71,0
1,7,78,1
2,7,115,5
3,7,131,5
4,7,146,9
5,7,240,13
6,7,257,13
7,7,327,13
8,7,368,16
9,7,463,16
10,7,559,16
11,7,718,16
12,7,1937,16
13,7,980,16
14,7,1856,20
15,7,1691,20
16,7,1635,20
17,7,2105,20
18,7,2310,20
19,7,3997,20
20,7,3627,20
21,7,3247,22
22,7,3365,22
23,7,4148,22
24,7,3837,22
25,7,4667,25
26,7,5173,25
27,7,5442,25
28,7,6797,25
29,7,6800,25
30,7,6748,25
31,7,6891,25
32,7,6758,25
33,7,7076,25
34,7,7692,25
35,7,7953,25
36,7,7792,25
37,7,10600,28
38,7,10043,28
39,7,10053,28
40,7,11026,28
41,7,10994,28
42,7,15272,29
43,7,15114,29
44,7,15869,29
45,7,15548,29
46,7,18950,29
47,7,20670,29
48,7,20247,29
49,7,24172,29
50,7,26987,29
51,7,27921,29
52,7,30275,29
53,7,36451,29
54,7,35722,29
55,7,37619,29
56,7,37087,29
57,7,39273,29
58,7,40639,29
59,7,45902,29
60,7,44511,29
61,7,55270,29
62,7,70647,29
63,7,90903,31
64,7,96936,31
65,7,103680,31
66,7,101539,31
67,7,116065,31
68,7,122933,31
69,7,122225,31
70,7,133149,31
71,7,123850,31
72,7,124832,31
73,7,126998,31
74,7,172728,31
75,7,196628,31
76,7,185842,31
77,7,301307,31
78,7,233651,31
79,7,351146,33
80,7,367207,33
81,7,350627,33
82,7,367305,33
83,7,449952,36
84,7,461999,36
85,7,467923,36
86,7,581203,39
87,7,1732767,39
88,7,1813808,39
89,7,1781987,39
90,7,1074816,39
91,7,981235,39
92,7,1032995,39
93,7,963947,39
94,7,954293,39
95,7,1056065,39
96,7,1168034,39
97,7,1073059,39
98,7,1066054,39
99,7,1118675,39
0,8,60,0
1,8,67,2
2,8,99,6
3,8,112,6
4,8,124,10
5,8,200,16
6,8,218,16
7,8,277,16
8,8,357,19
9,8,434,19
10,8,470,19
11,8,556,19
12,8,709,21
13,8,818,21
14,8,951,25
15,8,1069,25
16,8,1059,25
17,8,1319,25
18,8,1485,25
19,8,1674,25
20,8,2049,25
21,8,2758,27
22,8,2849,27
23,8,3049,27
24,8,3312,27
25,8,6434,29
26,8,3834,29
27,8,4868,30
28,8,6512,30
29,8,5887,30
30,8,15613,30
31,8,6337,30
32,8,6253,30
33,8,6253,30
34,8,7278,30
35,8,7653,30
36,8,7582,30
37,8,8257,33
38,8,9241,33
39,8,9618,33
40,8,9017,33
41,8,9413,33
42,8,13294,34
43,8,12969,34
44,8,14012,34
45,8,19351,34
46,8,17107,34
47,8,18535,34
48,8,20603,34
49,8,20506,34
50,8,22145,34
51,8,23420,34
52,8,87784,34
53,8,29675,36
54,8,32150,36
55,8,31642,36
56,8,31916,36
57,8,32567,36
58,8,33875,36
59,8,38697,36
60,8,47925,36
61,8,51335,36
62,8,64892,38
63,8,85684,41
64,8,84169,41
65,8,98686,41
66,8,98265,41
67,8,128704,41
68,8,134925,41
69,8,124521,41
70,8,129353,41
71,8,165577,41
72,8,137194,41
73,8,125846,41
74,8,155455,41
75,8,176373,41
76,8,169618,41
77,8,205100,41
78,8,289033,41
79,8,256859,41
80,8,256634,41
81,8,288152,41
82,8,300187,41
83,8,361391,45
84,8,379400,45
85,8,378365,45
86,8,437519,45
87,8,515547,45
88,8,859803,45
89,8,1425922,45
90,8,1166613,45
91,8,1593318,45
92,8,1575679,45
93,8,1559323,45
94,8,2093311,45
95,8,1583836,45
96,8,1511718,45
97,8,870217,45
98,8,818851,45
99,8,1374028,45
0,9,60,0
1,9,66,2
2,9,98,7
3,9,111,7
4,9,148,14
5,9,161,18
6,9,218,18
7,9,282,18
8,9,313,21
9,9,388,21
10,9,467,21
11,9,638,21
12,9,763,23
13,9,847,23
14,9,1028,27
15,9,1307,27
16,9,1652,27
17,9,1614,27
18,9,1742,27
19,9,1901,27
20,9,1895,27
21,9,2736,29
22,9,2889,29
23,9,3092,29
24,9,3369,29
25,9,3879,31
26,9,4342,31
27,9,4707,31
28,9,5493,31
29,9,138390,31
30,9,6631,31
31,9,6811,31
32,9,6711,31
33,9,6700,31
34,9,7791,31
35,9,7565,31
36,9,7516,31
37,9,9038,36
38,9,9496,36
39,9,9508,36
40,9,9759,36
41,9,10026,36
42,9,12886,38
43,9,13291,38
44,9,140767,38
45,9,12757,38
46,9,15620,38
47,9,16712,38
48,9,17468,38
49,9,19197,38
50,9,22269,38
51,9,154451,38
52,9,24447,38
53,9,30706,40
54,9,32677,40
55,9,181610,40
56,9,32783,40
57,9,35897,40
58,9,35190,40
59,9,188665,40
60,9,42372,40
61,9,171760,40
62,9,68311,41
63,9,219303,45
64,9,88328,45
65,9,237725,45
66,9,209692,45
67,9,375171,46
68,9,150090,46
69,9,164382,46
70,9,144990,46
71,9,147832,46
72,9,167200,46
73,9,152614,46
74,9,176388,46
75,9,244588,46
76,9,196399,46
77,9,234763,46
78,9,257168,46
79,9,438191,46
80,9,304595,46
81,9,337653,46
82,9,399047,46
83,9,467235,52
84,9,432500,52
85,9,456946,52
86,9,532191,53
87,9,648722,53
