n,w,time,res
0,9,98,0
1,9,237,2
2,9,306,7
3,9,393,7
4,9,497,14
5,9,593,18
6,9,695,18
7,9,766,18
8,9,886,21
9,9,991,21
10,9,1087,21
11,9,1155,21
12,9,1280,23
13,9,1327,23
14,9,1480,27
15,9,1985,27
16,9,1648,27
17,9,1761,27
18,9,1838,27
19,9,1953,27
20,9,2032,27
21,9,2164,29
22,9,2222,29
23,9,2326,29
24,9,2404,29
25,9,2504,31
26,9,2593,31
27,9,2701,31
28,9,3186,31
29,9,3390,31
30,9,3081,31
31,9,3132,31
32,9,3225,31
33,9,3313,31
34,9,3413,31
35,9,3441,31
36,9,3620,31
37,9,4137,36
38,9,4256,36
39,9,4366,36
40,9,4460,36
41,9,4698,36
42,9,4723,38
43,9,5637,38
44,9,4317,38
45,9,5034,38
46,9,4627,38
47,9,6115,38
48,9,4897,38
49,9,5526,38
50,9,5536,38
51,9,5101,38
52,9,5167,38
53,9,5350,40
54,9,5372,40
55,9,5970,40
56,9,5606,40
57,9,5672,40
58,9,5761,40
59,9,5836,40
60,9,6455,40
61,9,6110,40
62,9,6001,41
63,9,6218,45
64,9,6778,45
65,9,6417,45
66,9,6444,45
67,9,20407,46
68,9,6636,46
69,9,6849,46
70,9,6943,46
71,9,6979,46
72,9,7602,46
73,9,7137,46
74,9,7342,46
75,9,7446,46
76,9,7952,46
77,9,7656,46
78,9,7768,46
79,9,7771,46
80,9,7873,46
81,9,9608,46
82,9,8420,46
83,9,10944,52
84,9,8539,52
85,9,7622,52
86,9,8263,53
87,9,7830,53
88,9,8265,53
89,9,7497,53
90,9,7874,53
91,9,7657,53
92,9,8025,53
93,9,7331,53
94,9,8122,53
95,9,8476,53
96,9,8871,53
97,9,7618,53
98,9,8064,53
99,9,7774,53
0,10,73,0
1,10,171,2
2,10,243,7
3,10,320,7
4,10,420,14
5,10,494,19
6,10,581,19
7,10,625,19
8,10,722,25
9,10,796,25
10,10,880,25
11,10,962,25
12,10,1037,25
13,10,1098,25
14,10,1210,32
15,10,1284,32
16,10,1349,32
17,10,1437,32
18,10,1531,32
19,10,1594,32
20,10,1656,32
21,10,1749,36
22,10,1817,36
23,10,1886,36
24,10,1960,36
25,10,2421,37
26,10,2054,37
27,10,2143,37
28,10,2226,37
29,10,2312,37
30,10,3207,37
31,10,2432,37
32,10,2503,37
33,10,2568,37
34,10,2658,37
35,10,2715,37
36,10,2809,37
37,10,2901,42
38,10,2989,42
39,10,3060,42
40,10,3122,42
41,10,3631,42
42,10,3297,47
43,10,3354,47
44,10,3437,47
45,10,4130,47
46,10,4128,47
47,10,3795,47
48,10,3877,47
49,10,6138,47
50,10,5616,47
51,10,5991,47
52,10,6117,47
53,10,5727,47
54,10,6710,47
55,10,5952,47
56,10,6008,47
57,10,6123,47
58,10,6112,47
59,10,6205,47
60,10,6271,47
61,10,6126,47
62,10,7137,48
63,10,7464,53
64,10,7016,53
65,10,7973,53
66,10,7217,53
67,10,8741,53
68,10,7234,53
69,10,7188,53
70,10,8017,53
71,10,7998,53
72,10,7734,53
73,10,7816,53
74,10,8088,53
75,10,9023,53
76,10,7149,53
