n,w,time,res
0,10,160,0
1,10,427,6
2,10,755,9
3,10,1093,18
4,10,1388,21
5,10,1554,21
6,10,1712,21
7,10,1973,21
8,10,2271,25
9,10,2419,25
10,10,2559,25
11,10,2867,27
12,10,3127,28
13,10,3346,28
14,10,3725,28
15,10,3905,28
16,10,4243,33
17,10,7173,36
18,10,8811,36
19,10,16157,36
20,10,8230,36
21,10,8139,36
22,10,5970,41
23,10,6400,42
24,10,6638,42
25,10,6802,42
26,10,7003,42
27,10,7314,42
28,10,7622,42
29,10,8039,46
30,10,8074,46
31,10,8403,46
32,10,8608,46
33,10,8916,46
34,10,9197,46
35,10,9446,46
36,10,10535,46
37,10,9561,46
38,10,10096,46
39,10,8746,46
40,10,9055,46
41,10,9206,46
42,10,9361,46
43,10,9518,46
44,10,9753,46
45,10,10001,46
46,10,11123,46
47,10,10130,46
48,10,10341,46
49,10,10588,46
0,11,136,0
1,11,390,6
2,11,687,9
3,11,985,18
4,11,1259,21
5,11,1392,21
6,11,1649,30
7,11,1980,31
8,11,2298,35
9,11,2505,35
10,11,2758,38
11,11,3005,38
12,11,3134,38
13,11,3408,39
14,11,3601,39
15,11,3850,39
16,11,4099,42
17,11,4409,42
18,11,4673,46
19,11,4969,47
20,11,5211,47
21,11,5429,47
22,11,5539,47
23,11,5827,51
24,11,6081,51
25,11,6282,51
26,11,6541,51
27,11,6882,55
28,11,7178,57
29,11,7347,57
30,11,7557,57
31,11,7965,57
32,11,8090,57
33,11,8412,57
34,11,11508,57
35,11,9209,57
36,11,9122,57
37,11,10326,59
38,11,9610,59
39,11,9815,59
40,11,10512,59
41,11,10261,59
42,11,10452,59
43,11,10651,59
44,11,10967,59
45,11,11142,59
46,11,12427,59
47,11,13600,59
48,11,14701,59
49,11,12300,63
0,12,139,0
1,12,409,6
2,12,740,9
3,12,1062,18
4,12,1353,21
5,12,1510,21
6,12,1789,30
7,12,2162,34
8,12,2507,35
9,12,2761,35
10,12,3039,41
11,12,3288,41
12,12,3416,41
13,12,3743,42
14,12,3991,42
15,12,4248,42
16,12,4532,45
17,12,4815,45
18,12,5101,49
19,12,5455,53
20,12,5599,53
21,12,5941,53
22,12,6142,53
23,12,6260,53
24,12,6571,57
25,12,6895,57
26,12,7055,57
27,12,7255,57
28,12,7516,57
29,12,8007,66
30,12,8103,66
31,12,9682,66
32,12,10217,66
33,12,10623,66
34,12,10968,66
35,12,11182,66
36,12,11470,66
37,12,11826,66
38,12,12189,66
39,12,12525,66
40,12,12710,66
41,12,13023,66
42,12,13545,66
43,12,15723,66
44,12,17314,66
45,12,15415,66
46,12,14332,66
47,12,14306,66
48,12,14649,66
49,12,15858,72
0,13,169,0
1,13,528,6
2,13,705,6
3,13,1066,7
4,13,1312,9
5,13,1710,18
6,13,1892,18
7,13,2253,27
8,13,2712,31
9,13,3213,34
10,13,3566,34
11,13,4859,40
12,13,5341,40
13,13,5786,40
14,13,6206,41
15,13,6663,41
16,13,6232,43
17,13,5037,43
18,13,5302,43
19,13,5543,43
20,13,5761,43
21,13,5895,43
22,13,6138,43
23,13,6414,43
24,13,6657,43
25,13,9714,43
26,13,8444,43
27,13,8807,43
28,13,8996,43
29,13,9312,43
30,13,9437,43
31,13,12821,43
32,13,12842,43
33,13,10380,43
34,13,13763,45
35,13,11010,45
36,13,11479,45
37,13,11872,45
38,13,19945,48
39,13,18405,48
40,13,11173,48
41,13,10989,48
42,13,11446,52
43,13,16732,52
44,13,12080,52
45,13,12214,53
46,13,12454,53
47,13,12773,53
48,13,12986,53
49,13,13187,53
0,14,127,0
1,14,463,6
2,14,629,6
3,14,973,7
4,14,1227,10
5,14,1573,20
6,14,1729,20
7,14,2074,27
8,14,2466,31
9,14,2912,35
10,14,3257,35
11,14,3591,40
12,14,3915,40
13,14,4142,40
14,14,4499,42
15,14,4645,42
16,14,4903,42
17,14,5118,42
18,14,5507,47
19,14,5897,47
20,14,6157,50
21,14,6522,56
22,14,6702,56
23,14,6872,56
24,14,7281,56
25,14,7559,56
26,14,7898,60
27,14,8127,60
28,14,8438,60
29,14,8572,60
30,14,8860,60
31,14,9051,60
32,14,9408,60
33,14,9567,60
34,14,9804,60
35,14,9945,60
36,14,10462,62
37,14,10574,62
38,14,11440,62
39,14,12494,62
40,14,11640,64
41,14,11821,64
42,14,16175,64
43,14,14997,64
44,14,18166,66
45,14,24866,66
46,14,25131,66
47,14,21583,67
48,14,16960,67
49,14,17481,67
0,15,205,0
1,15,364,2
2,15,729,13
3,15,1244,16
4,15,1716,25
5,15,2242,40
6,15,2666,55
7,15,3033,55
8,15,3306,55
9,15,3630,55
10,15,3908,55
11,15,4305,55
12,15,4670,55
13,15,4920,55
14,15,5230,55
15,15,5676,60
16,15,9700,60
17,15,6408,60
18,15,6736,60
19,15,7187,66
20,15,7684,66
21,15,8867,66
22,15,9100,66
23,15,11322,66
24,15,10975,66
25,15,10901,66
26,15,10524,66
27,15,9453,66
28,15,9455,66
29,15,8644,66
30,15,10836,70
31,15,9883,70
32,15,9672,70
33,15,9877,70
34,15,10095,70
35,15,11890,71
36,15,10599,71
37,15,10971,75
38,15,11156,75
39,15,11391,75
40,15,11792,75
41,15,12001,75
42,15,12225,75
43,15,12571,75
44,15,12949,75
45,15,13856,75
46,15,14017,75
47,15,14008,75
48,15,14235,75
49,15,14428,75
0,16,170,0
1,16,326,2
2,16,640,13
3,16,1084,16
4,16,1512,25
5,16,1897,40
6,16,2294,55
7,16,2611,55
8,16,2877,55
9,16,3168,55
10,16,6530,55
11,16,3752,55
12,16,4256,55
13,16,4437,55
14,16,4724,55
15,16,5140,63
16,16,5508,63
17,16,5782,63
18,16,6791,63
19,16,8281,66
20,16,6805,66
21,16,7146,66
22,16,7383,66
23,16,7593,66
24,16,7990,71
25,16,8252,71
26,16,8520,71
27,16,8884,71
28,16,9097,71
29,16,9424,71
30,16,9858,79
31,16,10061,79
32,16,10398,79
33,16,10782,79
34,16,11211,79
35,16,11652,87
36,16,11836,87
37,16,12057,87
38,16,12402,87
39,16,12680,90
40,16,12852,90
41,16,13364,98
42,16,13608,98
43,16,13920,98
44,16,14215,98
45,16,14738,98
46,16,20827,98
47,16,20368,98
48,16,20761,98
49,16,21027,98
0,17,148,0
1,17,417,2
2,17,902,17
3,17,1495,34
4,17,2088,37
5,17,2212,37
6,17,2750,37
7,17,3319,46
8,17,3544,46
9,17,4117,46
10,17,4654,48
11,17,5231,56
12,17,5914,56
13,17,6187,56
14,17,6456,56
15,17,7003,63
16,17,7407,63
17,17,7873,63
18,17,8469,68
19,17,8682,68
20,17,9378,80
21,17,9896,82
22,17,10158,82
23,17,11109,82
24,17,11693,82
25,17,10977,82
26,17,13635,82
27,17,11178,82
28,17,12011,82
29,17,13643,82
30,17,15472,82
31,17,13581,82
32,17,11130,82
33,17,10932,82
34,17,11130,82
35,17,11420,82
36,17,11800,82
37,17,12121,82
38,17,12383,82
39,17,12653,82
40,17,12952,82
41,17,14840,82
42,17,13608,82
43,17,14055,82
44,17,14258,82
45,17,14752,87
46,17,14964,87
47,17,15378,87
48,17,15561,87
49,17,15993,87
0,18,174,0
1,18,384,2
2,18,770,17
3,18,1226,34
4,18,1694,37
5,18,1987,37
6,18,2266,37
7,18,2739,46
8,18,2916,46
9,18,3171,46
10,18,3646,50
11,18,4099,51
12,18,4352,51
13,18,4817,61
14,18,6287,61
15,18,6951,61
16,18,5628,61
17,18,6078,65
18,18,6509,65
19,18,6767,65
20,18,7285,67
21,18,7650,77
22,18,8095,81
23,18,8365,81
24,18,8585,81
25,18,8731,81
26,18,9080,81
27,18,9487,81
28,18,9610,81
29,18,10062,92
30,18,10529,92
31,18,10963,92
32,18,11474,95
33,18,11892,103
34,18,12434,108
35,18,12671,108
36,18,12966,108
37,18,14516,108
38,18,13672,108
39,18,13993,108
40,18,14269,108
41,18,14586,108
42,18,15655,108
43,18,15080,108
44,18,15265,108
45,18,15552,108
46,18,18440,108
47,18,19822,110
48,18,21356,110
49,18,23863,110
0,19,217,0
1,19,504,2
2,19,994,17
3,19,1574,34
4,19,2161,37
5,19,2532,37
6,19,3007,37
7,19,3514,46
8,19,3747,46
9,19,4027,46
10,19,4648,50
11,19,4893,50
12,19,5545,60
13,19,6075,60
14,19,6463,60
15,19,6750,60
16,19,7325,72
17,19,7758,72
18,19,9443,72
19,19,8862,76
20,19,9112,76
21,19,9372,76
22,19,9754,76
23,19,10123,76
24,19,10637,84
25,19,11023,84
26,19,11672,87
27,19,13520,87
28,19,15488,87
29,19,15880,98
30,19,13893,109
31,19,13489,120
32,19,12266,120
33,19,12459,120
34,19,12898,120
35,19,13423,129
36,19,13987,131
37,19,14160,131
38,19,14506,131
39,19,14802,131
40,19,17703,131
41,19,15584,134
42,19,17085,134
43,19,16343,134
44,19,16985,137
45,19,17196,137
46,19,18237,137
47,19,19328,137
48,19,18953,137
49,19,20921,137
0,20,190,0
1,20,449,2
2,20,879,17
3,20,1385,34
4,20,1892,37
5,20,2246,37
6,20,2568,37
7,20,3099,46
8,20,3308,46
9,20,3595,46
10,20,4188,50
11,20,4346,50
12,20,4539,50
13,20,4752,50
14,20,5061,50
15,20,5600,61
16,20,5917,61
17,20,6274,61
18,20,6532,61
19,20,7041,68
20,20,7543,68
21,20,7824,68
22,20,8311,74
23,20,8544,74
24,20,8898,74
25,20,9176,74
26,20,9684,81
27,20,9975,81
28,20,11956,85
29,20,10881,85
30,20,11142,85
31,20,11833,97
32,20,12259,108
33,20,12725,119
34,20,13188,119
35,20,13396,119
36,20,13909,125
37,20,14435,134
38,20,17644,138
39,20,22926,138
40,20,15561,138
41,20,19069,138
42,20,20015,138
43,20,21181,139
44,20,20220,139
45,20,20605,139
46,20,21967,139
47,20,21384,139
48,20,22091,145
49,20,22261,145
0,21,234,0
1,21,574,2
2,21,1112,19
3,21,1770,34
4,21,2400,37
5,21,2840,37
6,21,3248,37
7,21,3931,46
8,21,4233,46
9,21,4576,46
10,21,5259,50
11,21,5508,50
12,21,5796,50
13,21,6081,50
14,21,6489,50
15,21,7178,61
16,21,7497,61
17,21,8020,61
18,21,8357,61
19,21,8658,61
20,21,9532,62
21,21,11260,74
22,21,12636,74
23,21,12991,74
24,21,13802,86
25,21,14737,94
26,21,12901,94
27,21,10372,94
28,21,10633,94
29,21,13124,94
30,21,12253,94
31,21,13982,94
32,21,12070,94
33,21,16132,94
34,21,15029,94
35,21,13601,104
36,21,13534,104
37,21,13852,104
38,21,14043,104
39,21,14601,111
40,21,15006,111
41,21,16094,111
42,21,16360,111
43,21,15853,111
44,21,16096,111
45,21,16144,111
46,21,16692,126
47,21,17113,126
48,21,19542,126
49,21,19068,126
0,22,201,0
1,22,509,2
2,22,979,19
3,22,1539,34
4,22,2090,37
5,22,2503,37
6,22,2887,43
7,22,3555,46
8,22,3723,46
9,22,4055,46
10,22,4634,50
11,22,4883,50
12,22,5163,50
13,22,5394,50
14,22,5751,50
15,22,6350,72
16,22,6543,72
17,22,6852,72
18,22,7321,72
19,22,7712,72
20,22,7854,72
21,22,8392,73
22,22,8982,85
23,22,9189,85
24,22,9448,85
25,22,10044,97
26,22,10630,109
27,22,11034,109
28,22,11291,109
29,22,11561,109
30,22,12030,109
31,22,12456,109
32,22,12843,109
33,22,12997,109
34,22,13299,109
35,22,13511,109
36,22,14064,109
37,22,14312,109
38,22,15095,111
39,22,15510,128
40,22,16519,128
41,22,16349,128
42,22,18224,128
43,22,16922,128
44,22,31066,128
45,22,32594,128
46,22,24199,139
47,22,21562,139
48,22,18564,139
49,22,18998,139
0,23,204,0
1,23,537,2
2,23,1029,19
3,23,1622,34
4,23,2215,37
5,23,2635,37
6,23,3041,43
7,23,3639,46
8,23,3927,46
9,23,4262,46
10,23,4890,50
11,23,5100,50
12,23,5371,50
13,23,5932,70
14,23,6232,70
15,23,6522,70
16,23,7143,92
17,23,7365,92
18,23,7695,92
19,23,8181,92
20,23,8524,92
21,23,8756,92
22,23,9289,92
23,23,9919,102
24,23,10247,102
25,23,10510,102
26,23,10734,102
27,23,11137,102
28,23,11807,102
29,23,12157,109
30,23,12599,109
31,23,12695,109
32,23,13173,109
33,23,14747,109
